# rho   Cv     Cv_err   E      E_err   PV     PV_err
0.095  0.459  0.034   -0.6213 0.012  0.7465 0.0035
0.191  1.082  0.112   -1.2171 0.0026 0.5546 0.0071
0.286  1.719  0.178   -1.7418 0.0033 0.4795 0.0082
0.382  1.510  0.156   -2.1763 0.0031 0.4364 0.0090
0.477  1.136  0.118   -2.6028 0.0026 0.4761 0.0107
0.525  0.713  0.052   -2.8118 0.0015 0.5465 0.0074
0.573  0.545  0.028   -3.0293 0.0009 0.6527 0.0056
0.621  0.589  0.030   -3.2667 0.0010 0.8343 0.0058
0.668  0.588  0.030   -3.5049 0.0010 1.1342 0.0059
0.716  0.624  0.032   -3.7403 0.0010 1.5575 0.0061
0.764  0.710  0.037   -3.9617 0.0010 2.1874 0.0063

