Density  Run  E*/N         P*           Cv*/N_xs     Mu*_xs      
0.1      1    -0.82650     0.08003      0.53929      -0.70240    
0.1      2    -0.82764     0.08026      0.51048      -0.70216    
0.1      3    -0.82434     0.08017      0.48627      -0.70289    
0.1      4    -0.82585     0.08023      0.52826      -0.70280    
0.2      1    -1.66122     0.09902      1.76981      -1.29729    
0.2      2    -1.63572     0.10093      1.21501      -1.29611    
0.2      3    -1.61140     0.10115      1.21298      -1.29550    
0.2      4    -1.63199     0.10157      1.45899      -1.29158    
0.3      1    -2.32225     0.09317      1.35809      -1.74734    
0.3      2    -2.27536     0.09264      2.02760      -1.74011    
0.3      3    -2.28995     0.09647      2.33598      -1.73959    
0.3      4    -2.31086     0.09622      1.94925      -1.74732    
0.4      1    -2.85352     0.07956      0.93312      -2.08842    
0.4      2    -2.85458     0.08000      1.15431      -2.08419    
0.4      3    -2.85397     0.08066      1.04769      -2.08317    
0.4      4    -2.87032     0.07862      1.20814      -2.07399    
0.5      1    -3.40571     0.08269      0.67557      -2.32118    
0.5      2    -3.39663     0.07891      0.61378      -2.32959    
0.5      3    -3.40767     0.09315      0.62858      -2.31812    
0.5      4    -3.40609     0.09182      0.65620      -2.32227    
0.6      1    -4.02255     0.24353      0.55484      -2.29699    
0.6      2    -4.02533     0.22897      0.52559      -2.29141    
0.6      3    -4.02651     0.24707      0.57420      -2.28663    
0.6      4    -4.02968     0.24830      0.54813      -2.28676    
0.7      1    -4.66982     0.77085      0.57709      -1.76336    
0.7      2    -4.66991     0.78553      0.63789      -1.77223    
0.7      3    -4.66832     0.78829      0.62320      -1.76239    
0.7      4    -4.66793     0.79797      0.60364      -1.77473    
0.8      1    -5.26113     2.10873      0.76353      -0.42402    
0.8      2    -5.26134     2.10869      0.82892      -0.48371    
0.8      3    -5.25685     2.13180      0.90360      -0.46658    
0.8      4    -5.25588     2.12991      0.80718      -0.36662    
0.9      1    -5.71983     4.73307      1.04585      2.01771     
0.9      2    -5.71200     4.77500      1.17098      1.80326     
0.9      3    -5.70269     4.81452      1.23821      2.29178     
0.9      4    -5.70648     4.79170      1.08189      2.57684     
