Density  Run  User(s)  System(s)  Elapsed(s)
0.1      1    259.06   1.79       261.12    
0.1      2    252.38   1.70       253.51    
0.1      3    238.73   1.47       239.9     
0.1      4    232.46   1.54       233.64    
0.2      1    310.38   1.87       312.2     
0.2      2    298.49   1.64       299.83    
0.2      3    286.35   1.79       289.02    
0.2      4    274.64   1.59       276.93    
0.3      1    344.06   1.60       345.7     
0.3      2    340.32   1.74       342       
0.3      3    315.15   1.55       315.97    
0.3      4    312.20   1.56       313.67    
0.4      1    357.30   1.50       359.14    
0.4      2    374.93   1.52       376.51    
0.4      3    354.61   1.42       356.23    
0.4      4    358.76   1.58       360       
0.5      1    402.89   1.64       404.41    
0.5      2    427.90   1.60       430.02    
0.5      3    396.29   1.60       398.3     
0.5      4    396.34   1.65       398.58    
0.6      1    455.43   1.71       456.83    
0.6      2    455.01   1.70       456.41    
0.6      3    438.87   1.57       440.57    
0.6      4    439.99   1.53       441.56    
0.7      1    506.49   1.60       508.27    
0.7      2    494.70   1.75       496.33    
0.7      3    484.96   1.64       486.3     
0.7      4    482.21   1.56       483.38    
0.8      1    542.40   2.13       544.88    
0.8      2    541.54   1.81       543.6     
0.8      3    522.18   1.46       524.15    
0.8      4    531.65   1.72       533.42    
0.9      1    605.33   1.80       607.96    
0.9      2    570.24   1.64       572.12    
0.9      3    560.50   1.57       562.02    
0.9      4    562.23   1.53       563.76    
